,rule,mean_transient,var_transient,mean_period,var_period,m_attractors,derrida_coeff
244,244,0.09554081617721434,-0.09211126535198941,0.23487746327190012,0.02685645677799363,0.5774704551988968,0.625
245,245,0.07387736485900465,-0.23660435443894987,0.21662050373287153,0.1181829853863068,0.4728977769691746,0.5
246,246,0.1310075251833508,0.11243063740766385,0.24908152769023212,0.31236426996435046,0.2697684586030401,0.75
247,247,0.052098764386049955,-0.406275644157274,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.375
248,248,0.259851042803815,0.3206002533235553,0.24984939642578274,0.1832638396234181,0.42812633874893846,0.625
249,249,0.15287160935273034,0.17152806682846528,0.2168777760680538,0.4904085069724809,0.15401210355558606,0.75
250,250,0.1391763608010672,0.2088382607067707,0.0063851922965976,-4.5102810375396984e-17,0.008999423088017816,0.5
251,251,0.07454674161902075,0.06610985794719548,0.008999423088017792,-4.163336342344337e-17,0.015384615384615396,0.375
252,252,0.10467895519803479,0.13895283494543642,0.0,,2.0816681711721685e-17,0.5
253,253,0.04017774482717365,-0.29022813983242157,0.0,,0.0,0.375
254,254,0.08616126342894125,0.13214896368887696,0.0,,2.0816681711721685e-17,0.375
255,255,0.009160701961929925,-0.9908392980380707,0.0,,0.0,0.0
