,rule,n_cells,m_attractors,max_period,max_transient,derrida_coeff,transient_to_attractor
420,140,12,323,1,10,0.625,11.681114551083592
421,140,14,844,1,12,0.625,18.412322274881518
422,140,16,2208,1,14,0.625,28.681159420289855
423,141,12,30,1,11,0.75,135.53333333333333
424,141,14,52,1,13,0.75,314.0769230769231
425,141,16,91,1,15,0.75,719.1758241758242
426,142,12,61,12,5,0.75,5.3602484472049685
427,142,14,128,14,5,0.75,8.729216152019003
428,142,16,285,16,7,0.75,13.867513611615244
429,143,12,36,12,6,0.625,10.160762942779291
430,143,14,72,14,6,0.625,16.541755888650965
431,143,16,155,16,8,0.625,26.594105263157896
432,144,12,12,12,5,0.75,40.37373737373738
433,144,14,18,14,7,0.75,76.28301886792453
434,144,16,32,16,7,0.75,143.352422907489
435,145,12,92,24,23,0.875,10.976608187134502
436,145,14,307,28,21,0.875,14.906796116504854
437,145,16,804,32,35,0.875,23.37188545927854
438,146,12,21,36,8,1.125,20.333333333333332
439,146,14,46,14,17,1.125,81.74747474747475
440,146,16,80,14,22,1.125,116.44802867383513
441,147,12,33,12,21,1.0,20.22279792746114
442,147,14,54,112,25,1.0,24.4015503875969
443,147,16,133,40,32,1.0,50.643814026792754
444,148,12,29,12,7,1.125,14.515151515151516
445,148,14,51,14,8,1.125,24.842271293375394
446,148,16,93,16,9,1.125,47.04692082111437
447,149,12,12,102,126,1.0,8.503480278422273
448,149,14,18,1428,127,1.0,6.869356388088376
449,149,16,9,6016,287,1.0,5.3682829656981825
450,150,12,10,2,4,1.5,255.0
451,150,14,1192,14,0,1.5,0.0
452,150,16,8230,8,0,1.5,0.0
453,151,12,23,5,23,1.125,44.010989010989015
454,151,14,19,12,25,1.125,87.56216216216217
455,151,16,45,14,41,1.125,145.61297539149888
456,152,12,12,12,11,0.875,40.37373737373738
457,152,14,18,14,13,0.875,76.28301886792453
458,152,16,32,16,15,0.875,143.352422907489
459,153,12,24,12,4,1.0,15.0
460,153,14,298,14,2,1.0,3.0
461,153,16,1,1,16,1.0,65535.0
462,154,12,308,24,2,1.0,0.024
463,154,14,564,56,1,1.0,0.007874015748031496
464,154,16,4081,16,8,1.0,0.007843016639498048
465,155,12,52,12,2,0.875,6.301247771836007
466,155,14,120,14,2,0.875,9.082461538461539
467,155,16,298,16,2,0.875,13.024395463299808
468,156,12,76,2,10,1.0,26.675675675675677
469,156,14,186,2,12,1.0,43.52173913043478
470,156,16,420,2,14,1.0,77.39234449760765
471,157,12,75,2,11,0.875,26.86394557823129
472,157,14,185,2,13,0.875,43.643051771117165
473,157,16,419,2,15,0.875,77.48622754491018
474,158,12,29,12,7,1.125,14.515151515151516
475,158,14,51,14,8,1.125,24.842271293375394
476,158,16,93,16,9,1.125,47.04692082111437
477,159,12,28,12,6,0.75,14.574144486692015
478,159,14,50,14,6,0.75,24.88309636650869
479,159,16,92,16,8,0.75,47.08217168011739
480,160,12,3,2,5,0.5,1023.0
481,160,14,3,2,6,0.5,4095.0
482,160,16,3,2,7,0.5,16383.0
483,161,12,21,36,9,0.875,20.22279792746114
484,161,14,46,14,18,0.875,81.33165829145729
485,161,16,80,14,23,0.875,116.23792486583184
